id,age,checking_status,class,credit_amount,credit_history,duration,employment,existing_credits,feat01,feat02,feat03,feat04,feat05,feat06,feat07,feat08,feat09,feat10,foreign_worker,housing,installment_commitment,job,num_dependents,other_parties,other_payment_plans,own_telephone,personal_status,property_magnitude,purpose,residence_since,savings_status
1,48,'0<=X<200',good,2049,'critical/other existing credit',18,'>=7',2,0.3012612442297074,0.531543941576502,0.7140631469037182,1.214535553552364,1.131294859765327,1.2886098588117911,1.0810834837314611,1.0054566029272611,0.9357748713593705,0.7384390896243165,yes,rent,3,'unskilled resident',1,guarantor,bank,yes,'female div/dep/mar','real estate',radio/tv,4,'<100'
2,32,'<0',bad,1953,'existing paid',24,'<1',1,0.5283978259252835,0.3559700913939997,0.943270300508711,0.8464038187574724,0.7805126738247588,1.0453596441535629,1.3038325894531173,0.8945541060710188,0.6189795625572876,0.6898514929021755,yes,own,4,skilled,1,none,none,none,'male div/sep','life insurance',radio/tv,3,'<100'
3,46,'<0',bad,6463,'critical/other existing credit',48,'>=7',2,0.43146376607989856,0.5406085244949418,1.0490765320876423,1.6607783109662588,0.48790934290123267,0.9628203416948893,1.105549643663983,1.1921338830314214,0.6218787965400625,0.6565784602364046,yes,'for free',4,skilled,1,none,none,yes,'male single','no known property','used car',4,'<100'
4,24,'0<=X<200',bad,1365,'existing paid',8,'1<=X<4',1,0.5552671979588653,0.44199362492180144,0.5468766646222392,0.5923981381713798,0.8603170792723488,1.5866036367756915,0.9848181105799856,0.6447357111772578,0.9920551343862649,0.5683567070584383,yes,own,3,skilled,1,none,none,none,'female div/dep/mar','real estate',furniture/equipment,4,'<100'
5,36,'<0',good,1716,'existing paid',15,'<1',1,0.5020798683822838,0.5287036223621641,0.7291705834059014,1.2541509303003968,1.7263329848277105,1.2686542411311468,0.8903236279837301,0.7726762948897703,1.039742582885625,0.5645438540446157,yes,own,2,skilled,1,none,none,none,'male single','real estate','new car',3,'<100'
6,61,'0<=X<200',bad,2727,'existing paid',21,'>=7',2,0.6214972018072047,0.40898678445460956,0.6382271375466401,0.9218170147220702,1.2040535580624714,1.4423576527934845,0.8375357350406166,1.3725724529016423,1.3097768162793015,0.5250395303252575,yes,rent,4,'unskilled resident',1,none,bank,none,'male div/sep',car,business,2,'100<=X<500'
7,65,'<0',bad,2737,'existing paid',18,'1<=X<4',2,0.5177079127007727,0.5423513783231106,1.1467768630332742,0.7801930394649278,0.5854162498686477,0.9193889878784571,0.8710276676063073,0.5960939883324214,0.8100215556878451,0.5549270032626248,yes,'for free',4,skilled,1,none,none,none,'male single','no known property',radio/tv,4,'<100'
8,22,'no checking',bad,1331,'existing paid',9,'4<=X<7',1,0.47437992084156105,0.8158745857326086,0.9228962890591725,0.907860960509531,0.31181940801135305,1.4595861855062497,0.5290177428896989,0.9019989777984908,1.0781394073971804,0.3329809749912582,yes,own,4,skilled,1,none,none,none,'male single',car,radio/tv,2,'<100'
9,35,'no checking',good,1898,'existing paid',10,'1<=X<4',1,0.5567246955745093,0.6192078362060537,1.2909580637510203,0.7391664610871167,0.8409720600161875,0.8310717156565557,1.0177594412598578,0.6867168580584708,0.9946088537766767,0.5741449848141211,no,rent,3,'unskilled resident',1,none,none,none,'male single','real estate','new car',2,'100<=X<500'
10,23,'no checking',good,3065,'critical/other existing credit',15,'>=7',2,0.3707587263731378,0.4455453613741996,1.339515203451117,0.37395878780362485,0.6409637379796247,1.024310706463811,0.41731498610093926,0.964193897381065,1.0278886384777188,0.6141631387254924,yes,rent,3,skilled,1,none,none,yes,'male single','no known property','used car',4,'>=1000'
11,43,'<0',bad,1633,'delayed previously',24,unemployed,2,0.2260443696255213,0.6784032142255952,0.6915798187616244,0.6435934315463215,0.7442344125771537,1.3259228844794069,1.3466798797159802,0.9952511157883819,0.8125410992366753,0.42705573292220145,yes,'for free',4,skilled,2,none,none,none,'male single','real estate','new car',2,'<100'
12,45,'<0',bad,2287,'existing paid',24,'>=7',1,0.5979242740863199,0.27278078669131434,0.9741456255028669,0.9016009366415332,0.7431819735305318,0.433929355711818,0.4667722385798447,1.2302108409466235,0.7059138185184461,0.6772415722253353,yes,own,4,skilled,1,'co applicant',none,none,'male single','real estate','new car',1,'<100'
13,55,'<0',bad,1169,'critical/other existing credit',18,unemployed,3,0.4202537275942783,0.6396659779593677,0.8901634768892044,1.4351127046930028,0.29074341054775077,1.2195584496646243,1.3679244625594147,0.5661210106167278,0.9970415719506904,0.3857644057654639,yes,'for free',2,'unemp/unskilled non res',2,none,none,none,'female div/dep/mar','no known property',repairs,4,'<100'
14,35,'<0',bad,1496,'existing paid',24,'1<=X<4',1,0.4516458541376985,0.5794629203145325,0.6455265020476951,1.2952199591441147,1.5439884279648173,1.0774395141091504,0.8415436654990113,1.2720757485656615,1.1439109285909141,0.4508618372095031,yes,own,4,skilled,1,none,none,none,'female div/dep/mar','life insurance','new car',2,'no known savings'
15,27,'<0',good,4177,'existing paid',24,'1<=X<4',1,0.6543230317460754,0.5690016957039099,0.9692641483320801,1.3883507879901245,0.6707603894106275,0.5147856346479485,0.5152497562231386,0.7659912756528537,1.017177627803377,0.6263250350637896,yes,own,2,skilled,1,none,stores,none,'male single',car,furniture/equipment,2,'<100'
16,23,'<0',bad,1502,'existing paid',18,'<1',1,0.24466309501465813,0.31276604824119353,0.4143926300251592,0.8060798192943348,1.3200292732923042,0.8501429795512271,1.1976062582365792,0.9073364693706871,0.6244402669094818,0.43339706147023205,yes,rent,4,skilled,1,none,none,yes,'female div/dep/mar',car,'new car',3,'<100'
17,40,'<0',good,416,'existing paid',12,'1<=X<4',1,0.2913529079521691,0.6317960208424216,0.6508270731518611,0.8560770178480492,0.8230821524560907,1.353451339115059,1.292478192643924,1.0741515545049904,1.108219755409495,0.44306954870287973,yes,own,4,'unskilled resident',1,none,none,none,'male mar/wid','real estate',radio/tv,2,'<100'
18,45,'no checking',good,1222,'existing paid',10,'>=7',1,0.43192838240459386,0.6878479303570546,1.3948353970953495,1.1378774735094095,0.5106538516686918,1.595617754079417,1.2225681150539627,0.7092614062754341,0.8566007854746027,0.549083223942348,no,own,4,'unskilled resident',1,'co applicant',none,none,'male single','life insurance','new car',2,'no known savings'
